beta_E,beta_C,dropped_tau_c,slope,R2,p_value
1.0,0.03,0.01,-0.17029556994213854,0.3669281904954336,0.06344606052902617
1.0,0.03,0.015,-0.1945537821964541,0.4471687372236211,0.03450559914134792
1.0,0.03,0.02,-0.23487137613690418,0.6556177687427498,0.004528256012622004
1.0,0.03,0.03,-0.1962478653397312,0.4816421269530789,0.025989405543499596
1.0,0.03,0.05,-0.19574560006886751,0.49034256480394206,0.02413542520124482
1.0,0.03,0.075,-0.19632398463200942,0.4967876196055403,0.0228320415117319
1.0,0.03,0.1,-0.19702717570338227,0.49383480774940325,0.0234219597455453
1.0,0.03,0.15,-0.2038873095431414,0.5115580129087838,0.02005765623487455
1.0,0.03,0.2,-0.21250724216231748,0.5348431701415568,0.01623756307262175
1.0,0.03,0.3,-0.23078344962265676,0.5832246497798229,0.010141985136758526
1.0,0.03,0.5,-0.09985994142084512,0.3393643563894384,0.07719151222568632
