theta0,thetaV,thetaa,thetaVV,thetaaa,thetaVa,J,I_lower_mean,I_lower_std,I_upper_mean,I_upper_std,rate_mean,rate_std,E_mean,tau_c,beta_E,beta_C,dt_eff,cutoff,tau_ms,seed_count,trial_count,elapsed_seconds
-2.0,1.5,0.125,0.0,0.0,0.0,40.911428684010666,54.85270791221908,0.5350221148475767,42.68975060776095,7.522046802189909,8.832529228208417,0.0640927438535276,8.832529228208417,0.01,1.0,0.03,0.01,50.0,10.0,3,20,25562.93474626541
-2.375,1.5,0.125,0.0,0.0,0.0,42.14899662034765,54.375737209507726,1.4416470526231984,39.76999000857612,22.35475688065933,7.106740589160076,0.0495887359993877,7.106740589160076,0.015,1.0,0.03,0.01,50.0,15.0,3,20,29342.782070159912
-3.25,1.5,0.125,0.0,0.0,0.0,40.59336590984791,50.08722923421482,2.032097147221511,40.4307692264563,35.04399584051306,4.347613324366905,0.0292380789838268,4.347613324366905,0.02,1.0,0.03,0.01,50.0,20.0,3,20,29870.41609454155
-3.0,1.0,-1.5,0.0,0.0,0.5,46.60460274839671,57.87648342986407,2.455465514900944,71.01486223660727,86.89932026298833,6.091880681467361,0.0519131355406921,6.091880681467361,0.03,1.0,0.03,0.01,50.0,30.0,3,20,29133.85632300377
-3.25,1.0,-1.5,0.0,0.0,0.5,47.37559578218436,58.125702369322674,1.7794502709567102,109.64674684638317,97.14922479073778,5.562606587138316,0.0783118003118452,5.562606587138316,0.05,1.0,0.03,0.01,50.0,50.0,3,20,23729.747407913208
-3.25,1.0,-1.5,0.0,0.0,0.5,47.39950066915066,58.20501787817207,0.3932209218688143,136.30654661582815,73.47957599080767,5.618017209021404,0.101210833667085,5.618017209021404,0.075,1.0,0.03,0.01,50.0,75.0,3,20,26520.50311589241
-3.5,1.0,-1.5,0.0,0.0,0.5,46.877315770326256,57.1692342862701,1.1090508802162369,130.5501988507449,59.037026089828,5.096918515943852,0.1263206103279061,5.096918515943852,0.1,1.0,0.03,0.01,50.0,100.0,3,20,26386.964233636856
-3.5,1.0,-1.5,0.0,0.0,0.5,46.66663777441979,57.055986995415935,2.1080803947753908,96.590488369956,64.83143998332605,5.194349220996144,0.1515178134872517,5.194349220996144,0.15,1.0,0.03,0.01,50.0,150.0,3,20,26644.94875717163
-3.5,1.0,-1.5,0.0,0.0,0.5,47.09164802107467,57.53452134315108,1.5085982723475624,77.59566036951075,68.91427486101337,5.247873322076408,0.1744871775047558,5.247873322076408,0.2,1.0,0.03,0.01,50.0,200.0,3,20,28137.895542621613
-3.5,1.0,-1.5,0.0,0.0,0.5,48.9970949832047,59.47639389179174,0.8735440078861718,58.88191733536004,55.056208944542405,5.284298908587044,0.1964318412890878,5.284298908587044,0.3,1.0,0.03,0.01,50.0,300.0,3,20,27139.632147550583
-2.25,1.0,0.125,0.0,0.0,0.0,33.659634467056364,40.8549144854702,2.2355878948055348,30.65623128677063,25.262012380611637,2.0940300184138327,0.0379972659117474,2.0940300184138327,0.5,1.0,0.03,0.01,50.0,500.0,3,20,27062.57280778885
