beta_E,beta_C,mean_I_lower_bits_per_s,std_I_lower_bits_per_s,mean_E_total,std_E_total,mean_rate,std_rate,mean_bits_per_J,std_bits_per_J,stage
10.0,0.1,16.307945814238547,0.885026055749363,0.8425684919247333,0.0,0.8425684919247333,0.0,2.791228863945449,0.1514789355011577,Stage 2
3.0,0.03,30.137307526576183,0.9558987316959304,2.46409767344174,0.0,2.46409767344174,0.0,4.037635739120719,0.12806621423204925,Stage 2
3.0,0.1,31.063306869665563,0.7846819177911685,2.5978052148929964,0.0,2.5978052148929964,0.0,4.088457915290612,0.10327744599888633,Stage 2
1.0,0.1,43.71209115295519,1.00794671890098,6.667267022125785,0.0,6.667267022125785,0.0,3.7465578759841236,0.08639098745143242,Stage 2
1.0,0.03,44.56296153468865,0.9712087048843984,6.861297258944393,0.0,6.861297258944393,0.0,3.757005710406972,0.0818804793170517,Stage 2
0.3,0.1,62.7428643033255,1.787664182637133,16.94865568651659,0.0,16.94865568651659,0.0,2.8586199172949547,0.08144754777557167,Stage 2
0.3,0.01,77.71591473972798,1.7955118141299733,41.62677055657482,0.0,41.62677055657482,0.0,1.6667659761130356,0.038508174439217925,Stage 1
0.1,0.01,85.24618194205766,0.9821104015674992,72.86765315091957,0.0,72.86765315091957,0.0,1.0947573028409803,0.012612559411081997,Stage 1
0.0,0.01,85.91729954139582,1.5283185681698594,76.38772504348135,0.0,76.38772504348135,0.0,1.0556542709050356,0.018778244106876753,Stage 1
0.0,0.1,93.7195097819125,1.0830084618916425,123.11431165765411,0.0,123.11431165765411,0.0,0.731530369786858,0.008453454168224761,Stage 2
