beta_E,tau_c,optimal_rate_mean,optimal_rate_std,mean_I_lower,std_I_lower,mean_E_total,std_E_total,mean_bits_per_J,std_bits_per_J
0,0.02,127.29223901633092,0.3556418590561896,48.81901546551535,2.2085182875851426,127.29223901633092,0.3556418590561896,0.3690240321617721,0.016723689339507367
1,0.02,10.093661646854576,0.0384526899284523,46.67481010028714,2.321814044696067,10.093661646854576,0.0384526899284523,3.092345064592983,0.15402869080562007
10,0.02,0.1803907336044274,0.0005128459560601,1.0617377833411803,0.1322860658587542,0.1803907336044274,0.0005128459560601,0.20495322417551337,0.02553593240729664
0,0.05,126.9881762001723,0.5785637484648554,39.7745455753474,2.8551850105182397,126.9881762001723,0.5785637484648554,0.3013493081003379,0.021672421051449575
1,0.05,6.507008980404159,0.0283713375097064,32.12359515734497,2.906884033633003,6.507008980404159,0.0283713375097064,2.7916546525730355,0.25271231194692517
10,0.05,0.110715705373031,0.0007127358823871,1.0624930837134772,0.1298799080505853,0.110715705373031,0.0007127358823871,0.20789516478023812,0.025413268915906777
0,0.1,44.0955542517436,0.3474752808989489,34.87007247349512,0.661535518474868,44.0955542517436,0.3474752808989489,0.7102490847683368,0.014381570745258705
1,0.1,5.243063847811173,0.0342106134058058,24.385627777492346,1.117784048367199,5.243063847811173,0.0342106134058058,2.3806966489526746,0.10941523980667187
10,0.1,0.1100819146460765,0.000845001508656,1.1060765156442611,0.113107298951498,0.1100819146460765,0.000845001508656,0.21644986012340037,0.022134174895916764
0,0.2,7.69410105719114,0.2691366068897064,47.34298611743004,0.8738346951897822,7.69410105719114,0.2691366068897064,3.7295264866833944,0.10483836694764599
1,0.2,3.243014164656892,0.0275381546731414,13.371915678596054,0.323915136030145,3.243014164656892,0.0275381546731414,1.6222119010701286,0.039667667170427266
10,0.2,0.1091768691497468,0.0005842137666454,0.9949840298386228,0.3574086399666833,0.1091768691497468,0.0005842137666454,0.19474448728650198,0.06995425432091404
